method,spec,split,success_rate,unsafe_rate,mean_peak_force,max_peak_force,success,unsafe,n,safety_cases
paper_confidence,paper rule,train,0.5959595959595959,0.601010101010101,4.418853535353534,10.068,236.0,119.0,396.0,198.0
paper_confidence,paper rule,test,0.4950980392156863,0.6666666666666666,4.697423529411765,10.123999999999999,101.0,68.0,204.0,102.0
paper_confidence,paper rule,full,0.5616666666666666,0.6233333333333333,4.513567333333333,10.123999999999999,337.0,187.0,600.0,300.0
paper_timer,paper rule,train,0.7449494949494949,0.10606060606060606,2.847136363636364,9.9,295.0,21.0,396.0,198.0
paper_timer,paper rule,test,0.7156862745098039,0.11764705882352941,2.9008549019607845,10.012,146.0,12.0,204.0,102.0
paper_timer,paper rule,full,0.735,0.11,2.865400666666667,10.012,441.0,33.0,600.0,300.0
paper_authority_boundary,paper rule,train,0.8914141414141414,0.0,2.3893080808080804,3.5258,353.0,0.0,396.0,198.0
paper_authority_boundary,paper rule,test,0.8823529411764706,0.0,2.3876196078431375,3.4524000000000004,180.0,0.0,204.0,102.0
paper_authority_boundary,paper rule,full,0.8883333333333333,0.0,2.3887340000000035,3.5258,533.0,0.0,600.0,300.0
tuned_confidence,intent>0.92,train,0.5631313131313131,0.045454545454545456,2.8799646464646473,9.9322,223.0,9.0,396.0,198.0
tuned_confidence,intent>0.92,test,0.553921568627451,0.0392156862745098,2.8714431372549027,9.6354,113.0,4.0,204.0,102.0
tuned_confidence,intent>0.92,full,0.56,0.043333333333333335,2.877067333333334,9.9322,336.0,13.0,600.0,300.0
tuned_quality_risk,quality>0.56; risk<0.60,train,0.9873737373737373,0.0,2.2837525252525253,3.324,391.0,0.0,396.0,198.0
tuned_quality_risk,quality>0.56; risk<0.60,test,0.9852941176470589,0.00980392156862745,2.313109803921569,9.1034,201.0,1.0,204.0,102.0
tuned_quality_risk,quality>0.56; risk<0.60,full,0.9866666666666667,0.0033333333333333335,2.2937340000000015,9.1034,592.0,1.0,600.0,300.0
tuned_phase_quality_risk,phase in {free_space_alignment+human_handover+shared_guidance}; quality>0.54; risk<0.60,train,1.0,0.0,2.2698636363636364,3.324,396.0,0.0,396.0,198.0
tuned_phase_quality_risk,phase in {free_space_alignment+human_handover+shared_guidance}; quality>0.54; risk<0.60,test,1.0,0.0,2.268992156862746,3.324,204.0,0.0,204.0,102.0
tuned_phase_quality_risk,phase in {free_space_alignment+human_handover+shared_guidance}; quality>0.54; risk<0.60,full,1.0,0.0,2.269567333333334,3.324,600.0,0.0,600.0,300.0
