sc,policy,success,unsafe_cede,reclaim_miss,needless_intervene,chatter,peak_force,recovery_latency,boundary_f1,utility,weight
free,conf,0.830378,0.052799,0.042300,0.122211,0.231705,1.645750,0.636368,0.333185,0.515459,3600
free,timer,0.826917,0.047201,0.037717,0.146033,0.266664,1.604213,0.646634,0.356449,0.505615,3600
free,tqr,0.841764,0.039475,0.031775,0.156935,0.182742,1.548111,0.587265,0.394143,0.549550,3600
free,tpqr,0.841511,0.050245,0.040397,0.115793,0.168958,1.627401,0.597216,0.347907,0.547451,3600
free,scalar,0.833452,0.050133,0.040277,0.118208,0.238191,1.626478,0.635765,0.347532,0.522154,3600
free,field,0.898502,0.019881,0.020118,0.073966,0.022368,1.416761,0.470345,0.376419,0.696094,3600
free,oracle,0.929929,0.007291,0.007414,0.010932,0.009762,1.315679,0.439348,0.382744,0.769620,3600
clutter,conf,0.667123,0.197547,0.187250,0.027298,0.234281,3.299294,0.923605,0.454124,0.116750,3600
clutter,timer,0.746223,0.121448,0.115042,0.048716,0.267253,2.702950,0.803106,0.616493,0.307774,3600
clutter,tqr,0.787098,0.096194,0.092099,0.047814,0.158111,2.508318,0.697146,0.660782,0.416407,3600
clutter,tpqr,0.868042,0.028466,0.027727,0.069320,0.086745,1.977232,0.533370,0.747671,0.620726,3600
clutter,scalar,0.743243,0.125211,0.119381,0.042648,0.264620,2.734900,0.809464,0.611242,0.300383,3600
clutter,field,0.888015,0.020233,0.021918,0.053444,0.017201,1.919122,0.481894,0.725161,0.674247,3600
clutter,oracle,0.913435,0.009605,0.009214,0.007159,0.010466,1.827454,0.455440,0.726608,0.733664,3600
insert,conf,0.530010,0.308348,0.310105,0.006619,0.235624,4.397790,1.152102,0.485135,-0.188653,3600
insert,timer,0.693940,0.167458,0.168367,0.013544,0.245427,3.267958,0.890251,0.707849,0.182093,3600
insert,tqr,0.758417,0.122411,0.124535,0.011994,0.140401,2.911473,0.747816,0.762703,0.347703,3600
insert,tpqr,0.876261,0.028184,0.029348,0.017852,0.071445,2.154582,0.529911,0.855249,0.640445,3600
insert,scalar,0.699183,0.163303,0.165326,0.011393,0.241996,3.238284,0.881869,0.713375,0.195032,3600
insert,field,0.891748,0.020329,0.022549,0.016320,0.013492,2.095121,0.483931,0.860849,0.682939,3600
insert,oracle,0.907087,0.011086,0.009845,0.006304,0.010658,2.010102,0.460549,0.861772,0.719751,3600
handover,conf,0.781224,0.096856,0.087296,0.083137,0.233343,2.197842,0.727710,0.382612,0.395065,3600
handover,timer,0.787404,0.081487,0.073375,0.107996,0.281255,2.079528,0.727305,0.431529,0.407649,3600
handover,tqr,0.815485,0.063429,0.057607,0.122036,0.178726,1.942390,0.638621,0.485126,0.485552,3600
handover,tpqr,0.798384,0.084398,0.076460,0.091702,0.184974,2.103370,0.679106,0.426420,0.441469,3600
handover,scalar,0.790402,0.082958,0.075105,0.095591,0.264112,2.092125,0.720809,0.430216,0.415618,3600
handover,field,0.891314,0.020057,0.020833,0.077001,0.023143,1.616528,0.477770,0.484212,0.680462,3600
handover,oracle,0.923230,0.008434,0.008129,0.009371,0.010114,1.520087,0.447155,0.489400,0.754895,3600
slip,conf,0.492337,0.337932,0.342031,0.003941,0.235532,4.717091,1.211980,0.489171,-0.248535,3600
slip,timer,0.682806,0.176129,0.178238,0.008449,0.238844,3.416295,0.905540,0.728139,0.156007,3600
slip,tqr,0.759091,0.121290,0.124310,0.007279,0.132055,2.980502,0.743231,0.788780,0.350496,3600
slip,tpqr,0.879410,0.025413,0.026705,0.010905,0.066629,2.207953,0.523224,0.876807,0.648796,3600
slip,scalar,0.694623,0.166595,0.169800,0.007019,0.231870,3.343531,0.884985,0.738998,0.185275,3600
slip,field,0.890825,0.020361,0.022822,0.010398,0.012885,2.171280,0.485042,0.885089,0.681098,3600
slip,oracle,0.904486,0.011426,0.010118,0.006187,0.010722,2.087741,0.462232,0.885997,0.714128,3600
guide,conf,0.754976,0.120741,0.111060,0.065915,0.233456,2.463329,0.774942,0.405252,0.330795,3600
guide,timer,0.772637,0.093833,0.086234,0.094266,0.290307,2.254727,0.758525,0.481981,0.370781,3600
guide,tqr,0.805481,0.074317,0.068930,0.101627,0.175046,2.105677,0.659858,0.531723,0.460918,3600
guide,tpqr,0.779351,0.101151,0.093545,0.076767,0.188981,2.313244,0.715604,0.465657,0.394572,3600
guide,scalar,0.774317,0.096223,0.088942,0.083231,0.272039,2.274863,0.753209,0.478376,0.375727,3600
guide,field,0.888477,0.020121,0.021105,0.079170,0.022184,1.692496,0.479789,0.548308,0.674440,3600
guide,oracle,0.920757,0.008788,0.008401,0.008695,0.010242,1.597443,0.449968,0.552302,0.749482,3600
occhand,conf,0.695154,0.172322,0.163539,0.040079,0.234973,3.030337,0.879298,0.439594,0.184893,3600
occhand,timer,0.746924,0.117618,0.111560,0.065195,0.284085,2.601422,0.806816,0.565775,0.308294,3600
occhand,tqr,0.787368,0.093122,0.089204,0.066894,0.165823,2.412306,0.696968,0.613590,0.416810,3600
occhand,tpqr,0.859301,0.031073,0.030182,0.098032,0.095918,1.925598,0.544331,0.698248,0.599690,3600
occhand,scalar,0.746851,0.119998,0.114511,0.058057,0.272212,2.622291,0.805379,0.562921,0.308689,3600
occhand,field,0.887039,0.020265,0.021656,0.065884,0.019543,1.846436,0.483987,0.660612,0.671645,3600
occhand,oracle,0.915667,0.009503,0.008952,0.007662,0.010530,1.754128,0.456172,0.662329,0.738307,3600
transport,conf,0.658909,0.201100,0.195964,0.033623,0.235149,3.339200,0.939433,0.448198,0.097123,3600
transport,timer,0.715613,0.143493,0.139779,0.052774,0.289423,2.882896,0.862726,0.569950,0.231624,3600
transport,tqr,0.777639,0.100944,0.099321,0.058501,0.160062,2.549197,0.712481,0.642805,0.393810,3600
transport,tpqr,0.861533,0.030553,0.030554,0.084384,0.088694,1.991267,0.541506,0.727512,0.605531,3600
transport,scalar,0.724514,0.137941,0.135148,0.049300,0.271489,2.841432,0.843343,0.581604,0.254591,3600
transport,field,0.887860,0.020297,0.021900,0.053733,0.019029,1.914343,0.485112,0.688703,0.673561,3600
transport,oracle,0.913208,0.010064,0.009196,0.007400,0.010594,1.824574,0.457960,0.690464,0.732932,3600
dock,conf,0.576644,0.270707,0.268602,0.012750,0.235219,4.026646,1.075363,0.476340,-0.095057,3600
dock,timer,0.703361,0.158470,0.157194,0.024124,0.258692,3.131405,0.877416,0.670946,0.203916,3600
dock,tqr,0.764281,0.116763,0.117127,0.022885,0.147582,2.802998,0.738418,0.728200,0.361422,3600
dock,tpqr,0.872455,0.029369,0.030098,0.033528,0.076808,2.105015,0.534067,0.820465,0.631143,3600
dock,scalar,0.707859,0.155383,0.155143,0.021046,0.252956,3.110024,0.869664,0.676227,0.215177,3600
dock,field,0.890626,0.020313,0.022339,0.028074,0.014818,2.036715,0.483857,0.815915,0.680264,3600
dock,oracle,0.909148,0.010669,0.009635,0.006562,0.010626,1.949771,0.459458,0.816628,0.724219,3600
tool,conf,0.692947,0.172856,0.166023,0.043066,0.234140,3.040356,0.880102,0.434888,0.179954,3600
tool,timer,0.734553,0.127017,0.121938,0.065539,0.290684,2.679260,0.827324,0.541011,0.277818,3600
tool,tqr,0.785217,0.093406,0.090541,0.072318,0.165889,2.417455,0.696681,0.605662,0.412059,3600
tool,tpqr,0.857278,0.031119,0.030581,0.105567,0.095914,1.926607,0.542682,0.687744,0.595370,3600
tool,scalar,0.739848,0.124823,0.120519,0.060434,0.273727,2.664186,0.814650,0.547351,0.291830,3600
tool,field,0.887714,0.020201,0.021654,0.063055,0.020122,1.845633,0.482092,0.641179,0.673176,3600
tool,oracle,0.915565,0.009654,0.008950,0.007781,0.010402,1.754355,0.454019,0.643875,0.738188,3600
peg,conf,0.495792,0.335101,0.340173,0.004520,0.235709,4.672380,1.209033,0.488836,-0.243501,3600
peg,timer,0.680005,0.178348,0.181012,0.009505,0.242563,3.410647,0.913597,0.722381,0.148644,3600
peg,tqr,0.755437,0.124398,0.127826,0.008275,0.134785,2.981498,0.752233,0.783108,0.341133,3600
peg,tpqr,0.877847,0.026883,0.028307,0.012388,0.068107,2.194960,0.528083,0.873419,0.644646,3600
peg,scalar,0.690968,0.169549,0.173298,0.007936,0.235813,3.343733,0.894545,0.732684,0.175807,3600
peg,field,0.891290,0.020393,0.022731,0.011631,0.013044,2.145965,0.486124,0.881540,0.681970,3600
peg,oracle,0.905259,0.011447,0.010027,0.006212,0.010786,2.062374,0.463255,0.882359,0.715681,3600
inspect,conf,0.814257,0.068010,0.057168,0.105214,0.232453,1.844321,0.668371,0.355269,0.475741,3600
inspect,timer,0.813373,0.058585,0.049151,0.132442,0.275835,1.773427,0.676612,0.391060,0.471678,3600
inspect,tqr,0.832364,0.048190,0.040756,0.143305,0.181984,1.696667,0.606909,0.432354,0.526532,3600
inspect,tpqr,0.847119,0.021634,0.018402,0.227102,0.130942,1.497664,0.533386,0.489497,0.572115,3600
inspect,scalar,0.817761,0.061664,0.052023,0.110614,0.251468,1.797399,0.668527,0.382981,0.483032,3600
inspect,field,0.894215,0.019977,0.020402,0.080857,0.023161,1.496111,0.474469,0.422209,0.686669,3600
inspect,oracle,0.927315,0.007693,0.007698,0.010258,0.009954,1.396497,0.443331,0.428064,0.763829,3600
