user,policy,success,unsafe_cede,reclaim_miss,needless_intervene,chatter,peak_force,recovery_latency,boundary_f1,utility,weight
expert,conf,0.661320,0.205489,0.200275,0.039615,0.176623,3.289014,0.911638,0.306599,0.126663,7200
expert,timer,0.745939,0.115426,0.111656,0.082746,0.272872,2.573134,0.797124,0.542967,0.307946,7200
expert,tqr,0.733356,0.140406,0.136798,0.055887,0.177165,2.773489,0.790942,0.495901,0.283752,7200
expert,tpqr,0.807943,0.075039,0.072187,0.082589,0.138642,2.252975,0.646771,0.619444,0.470089,7200
expert,scalar,0.726616,0.139433,0.135527,0.055832,0.250337,2.764755,0.829707,0.498489,0.261166,7200
expert,field,0.890414,0.020202,0.021591,0.053980,0.020453,1.827850,0.482244,0.635054,0.678956,7200
expert,oracle,0.915984,0.009594,0.008887,0.008532,0.010404,1.736280,0.453948,0.640550,0.739070,7200
novice,conf,0.666350,0.191973,0.186798,0.048345,0.248965,3.209194,0.926654,0.455078,0.118206,7200
novice,timer,0.740260,0.124236,0.119879,0.062369,0.269404,2.669914,0.811099,0.596291,0.293425,7200
novice,tqr,0.789169,0.090014,0.087526,0.070172,0.166436,2.402116,0.691093,0.650719,0.421608,7200
novice,tpqr,0.855424,0.037423,0.035274,0.078779,0.107972,1.982475,0.559380,0.723909,0.588218,7200
novice,scalar,0.747219,0.120120,0.116434,0.056398,0.260309,2.639129,0.799064,0.604644,0.310759,7200
novice,field,0.890427,0.020202,0.021693,0.051177,0.018304,1.856355,0.481168,0.716276,0.679288,7200
novice,oracle,0.915220,0.009651,0.008989,0.007817,0.010404,1.765058,0.454112,0.717161,0.737461,7200
fatigue,conf,0.657378,0.202463,0.196915,0.041931,0.236554,3.281396,0.939063,0.438224,0.099135,7200
fatigue,timer,0.743198,0.122828,0.118435,0.059246,0.267648,2.648012,0.807409,0.606888,0.300411,7200
fatigue,tqr,0.812068,0.071774,0.069747,0.073103,0.148326,2.247153,0.647055,0.683563,0.478912,7200
fatigue,tpqr,0.866740,0.028703,0.026803,0.078472,0.101052,1.902991,0.539336,0.740871,0.616201,7200
fatigue,scalar,0.751006,0.117851,0.114167,0.053893,0.258537,2.610466,0.793787,0.616263,0.319853,7200
fatigue,field,0.890960,0.020202,0.021655,0.050591,0.017779,1.845710,0.480827,0.729273,0.680482,7200
fatigue,oracle,0.915597,0.009631,0.008951,0.007698,0.010404,1.754318,0.454051,0.728743,0.738261,7200
tremor,conf,0.681651,0.176121,0.171263,0.049220,0.281556,3.065165,0.915340,0.513429,0.149076,7200
tremor,timer,0.744072,0.123381,0.118917,0.054502,0.266538,2.644509,0.807745,0.615671,0.302250,7200
tremor,tqr,0.829359,0.058868,0.057188,0.071666,0.133248,2.137313,0.614652,0.709454,0.522076,7200
tremor,tpqr,0.873388,0.024453,0.022655,0.074564,0.096375,1.861617,0.528812,0.754257,0.632440,7200
tremor,scalar,0.766812,0.105370,0.101997,0.054172,0.248823,2.503910,0.765147,0.645533,0.359058,7200
tremor,field,0.891834,0.020202,0.021627,0.048198,0.017282,1.837919,0.480513,0.742378,0.682418,7200
tremor,oracle,0.915888,0.009615,0.008923,0.007555,0.010404,1.746449,0.454006,0.741933,0.738878,7200
delayint,conf,0.714014,0.142816,0.138972,0.069392,0.295940,2.802299,0.861717,0.556945,0.227626,7200
delayint,timer,0.740619,0.124431,0.120086,0.061801,0.270115,2.653614,0.811880,0.593383,0.294017,7200
delayint,tqr,0.776985,0.101114,0.098336,0.065009,0.175580,2.472094,0.716831,0.632435,0.390687,7200
delayint,tpqr,0.848186,0.044426,0.042081,0.074965,0.112733,2.019974,0.575037,0.715165,0.569784,7200
delayint,scalar,0.761830,0.107562,0.104224,0.061533,0.254295,2.521884,0.772398,0.622790,0.346946,7200
delayint,field,0.890921,0.020202,0.021628,0.051498,0.018286,1.838248,0.481077,0.716042,0.680325,7200
delayint,oracle,0.915813,0.009616,0.008924,0.007821,0.010404,1.746780,0.454008,0.716915,0.738717,7200
overconf,conf,0.614163,0.248297,0.241532,0.025683,0.166152,3.690101,0.984743,0.295219,0.039311,7200
overconf,timer,0.737789,0.125240,0.120830,0.063627,0.268940,2.713182,0.812670,0.597119,0.287898,7200
overconf,tqr,0.793883,0.084794,0.082420,0.074094,0.160848,2.396130,0.678241,0.658952,0.434160,7200
overconf,tpqr,0.857566,0.034200,0.032151,0.082301,0.105281,1.992417,0.551907,0.726825,0.594245,7200
overconf,scalar,0.728028,0.136555,0.132388,0.050910,0.262946,2.804478,0.831003,0.579056,0.263876,7200
overconf,field,0.889257,0.020202,0.021822,0.051323,0.018390,1.892173,0.481377,0.714317,0.676814,7200
overconf,oracle,0.914040,0.009722,0.009118,0.007839,0.010404,1.801218,0.454318,0.714672,0.734962,7200
